key,en,es,comment
detecting_location,Detecting location...,Detectando la ubicación...,
add_photos,Add photos,Añadir Fotos,
device_authenticating,Authenticating device...,Autenticando dispositivo...,
calculating_size,Calculating total size of images...,Calculando el tamaño total de las imágenes...,
establishing_connection,Establishing a connection with the server...,Estableciendo conexión con el servidor...,
checking_space,Checking for available storage space...,Verificando espacio para almacenamiento...,
checking_f_keys,Checking foreign key constraints...,Verificando liímites de validacioón de la base de datos...,Database term
comparing_snapshot_download,Comparing snapshot with last downloaded...,Comparando la captura con la última descarga...,
no_previous_download,no previous download found...,No se ha encontrado descargas anteriores...,
last_download_date,the last download on {0} is older than the latest server snapshot...,La ultima descarga en {0} es más antigua que la ultima captura del servidor,
last_snapshot_date,"You have already downloaded the snapshot created at {0}, no download is necessary.","Ya descargoó la última captura, creada en {0}, no se necesita una nueva descarga",
older_snapshot,"The snapshot on the server, created at {0}, is older than the last snapshot you downloaded ({1}). This is unexpected, proceed with caution.","La captura en el servidor, creada en {0}, es más antigua que la que descargó ({1}). Esto es inesperado. Proceda con precaución. ",
warning_ignored,Warning ignored by user.,Advertencia ignorada por el usuario,
checking_snapshot,Checking latest available snapshot on the server...,Revisando la última captura disponible en el servidor ,
no_snapshot_found,"No snapshot found on the server, contact the server administrator for a solution.","No se ha encontrado capturas en el servidor, contcte al administrador del servidor para encontrar una solución",
operation_cancelled,Operation cancelled by the user.,Operación cancelada por el usuario,
comparing_snapshot_upload,Comparing snapshot with last upload...,Comparando la captura con la última carga subida,
pending_uploads_device,There are {0} upload(s) from this device that the server has not processed yet. Downloading a new snapshot may result in lost data. Please try again in a few minutes.,Hay {0} cargas de este dispositivo que el servidor no ha procesado. Descargar una nueva captura puede resultar en pérdida de datos. Intente de nuevo en unos minutos. ,
pending_uploads,There are {0} upload(s) that the server has not processed yet. Please try again in a few minutes.,Hay {0} cargas que el servidos aún no ha procesado. Intente de nuevo en unos minutos. ,
configuring_db,Configuring database...,Configurando la base de datos...,
downloading_images,Downloading images... {0}/{1},Descargándo imágenes... {0}/{1},imagesDownload / numImagesFound
server_cant_find_images,The server could not find {0} images that were requested.,El servidor no pudo encontrar {0} imágenes que fueron solicitadas,
downloading_snapshot,Downloading the latest snapshot...,Descargando la última captura...,
emptying_snapshots,Emptying the snapshots directory...,Vaciando el directorio de capturas...,
extracting_snapshot,Extracting the snapshot...,Extrayendo la captura...,
generating_image_list,Generating list of images to download...,Generando lista de imágenes para descargar...,
importing_database,Importing database...,Importando la base de datos...,
registering_download,Registering successful download...,Registrando las descargas exitosas...,
removing_db,Removing previous database...,Removieno la base de datos previa...,
verifying_download,Verifying the download...,Verificando la descarga...,
hash_dont_match,Calculated hash does not match hash reported by the server.,El hash calculado no es igual al hash reportado por el servidor.,
checking_connection,Establishing connection with the server...,Estableciendo conexión con el servidor...,
creating,Creating,Creando,
calculating_hash,Calculating hash...,Calculando hash...,
compressing_upload,Compressing upload...,Comprimiendo la carga...,
creating_upload,Creating upload file...,Creando el documento para cargar...,
emptying_uploads,Emptying uploads directory...,Vaciando el directorio de cargas...,
registering_upload,Registering successful upload...,Registrando carga exitosa...,
verifying_upload,Verifying upload...,Verificando carga...,
click_download_button,Click the download button below.,Haga click en el botoón de descargas abajo.,
snapshot_created_at,The current snapshot was created on:,La captura actual fue creada en: ,
unsynced_rows,There are {0} unsynced rows in the database. Click the upload button below.,Hay {0} filas sin sincronizar en la base de datod. Haga click en el botoóón de cargas abajo. ,
warning_word,Warning,Advertencia,
ignore,Ignore,Ignorar,
stop,Stop,Detener,
retry,Retry,Volver a intentar,
continue,Continue,Continuar,
online,Online,Conectado,
offline,Offline,Desconectado,
respondent_full_name,Full name,Nombre completo,
locations,Locations,Ubicaciones,
names,Names,Nombres,
condition_tags,Condition tags,Etiquetas de condición,
condition_tag,Condition tag,Etiqueta de condición,
remove_location,Remove this location,Remover esta ubicación,
move_respondent_location,Move this respondent location,Mover la ubicación de este participante,
not_started,Not started,No iniciada,
interviews,Interviews,Entrevistas,
interview_status,Status,Estado (de la entrevista),"The state of the interview (completed, in progress...)"
surveyor,Surveyor,Encuestador,
start_time,Start time,Hora de inicio (de la entrevista),
end_time,End time,Hora del fin (de la entrevista),
locale,Locale,Localidad,
study,Study,Estudio,
type,Type,Tipo,
created_at,Created at,Creado en ,
no_condition_tags,No condition tags have been assigned,No se han asignado etiquetas,
reason,Reason,Razón,For don't know/refused explanation
required_response,A response is required,Se requiere una respuesta,
required_field,This field is required,Este campo es requerido,
all_data_saved,All data has been saved.,Los datos se han guardado,
form_empty,The form is empty,La forma está vacía ,
finish,Finish,Terminar,Complete the survey. Shown on the last page of a form.
value,Value,Valor,
loading,Loading...,Cargando...,
revert_changes,Revert changes,Revertir cambios,Return to the previous state before changes were made
text_placeholder,Your response here...,Su respuesta aquí...,
failed_login,"Could not login, please try again.","No se pudo iniciar sesión, por favor intente de nuevo",
change_study,Change study,Cambiar estudio,
change_locale,Change locale,Cambiar localidad,
copy_url,Copy URL,Copiar URL,
refresh,Refresh app,Refrescar la aplicación,
logout,Logout,Cerrar sesión,
close,Close,Cerrar,
copied_url,Current URL copied to clipboard,URL actual copiado al portapapeles,
forms,Forms,Formas,Section title in respondent page
respondent_forms,{0}'s forms,Formas de {0},
set_primary,Set as primary,Establecer como primario,
optional,optional,opcional,
clear,Clear,Despejar,Clear filters and search box
geo_search_filter,Searching respondents from:,Buscar participantes de: ,
no_results,No results,No hay resultados,
